request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_26,15656000,affordable_now,full_payment,2025-08-03:15656000,2025-08-03,none,pay IDR 15656000 today. This leaves at least IDR 65942674.65 available.
request_27,6670,affordable_now,full_payment,2026-07-05:6670,2026-07-05,none,pay ZAR 6670 today. This leaves at least ZAR 22794.84 available.
request_28,319.54,affordable_later,wait,2024-08-15:1302.4,2024-08-15,none,"Wait until 15 August 2024, then pay EUR 1302.4 in full. Paying sooner would put the EUR 1100 minimum at risk."
request_29,0,not_affordable,not_recommended,none,,none,Do not make this payment by 23 November 2025. None of the eligible options keeps the ZAR 28300 minimum protected.
request_30,775.2,affordable_with_plan,installments,2026-04-06:268.74|2026-05-06:268.74|2026-06-05:268.74,2026-04-06,none,"Use 3 installments of USD 268.74, starting 6 April 2026. This leaves at least USD 2956.05 available."
request_31,3071296.92,affordable_later,wait,2024-11-15:18164000,2024-11-15,none,"Wait until 15 November 2024, then pay IDR 18164000 in full. Paying sooner would put the IDR 16588900 minimum at risk."
request_32,13761.81,affordable_later,wait,2025-04-15:40018,2025-04-15,none,"Wait until 15 April 2025, then pay ZAR 40018 in full. Paying sooner would put the ZAR 35700 minimum at risk."
request_33,29116.56,affordable_later,wait,2026-03-15:118000,2026-03-15,none,"Wait until 15 March 2026, then pay INR 118000 in full. Paying sooner would put the INR 102100 minimum at risk."
request_34,129400,affordable_now,full_payment,2024-12-04:129400,2024-12-04,none,pay INR 129400 today. This leaves at least INR 411934.78 available.
request_35,11344.43,affordable_later,wait,2026-01-15:212000,2026-01-15,none,"Wait until 15 January 2026, then pay INR 212000 in full. Paying sooner would put the INR 106400 minimum at risk."
request_36,609.24,affordable_later,wait,2026-09-15:3954,2026-09-15,none,"Wait until 15 September 2026, then pay USD 3954 in full. Paying sooner would put the USD 2400 minimum at risk."
request_37,4488722.2,affordable_later,wait,2024-05-15:14649000,2024-05-15,none,"Wait until 15 May 2024, then pay IDR 14649000 in full. Paying sooner would put the IDR 17056200 minimum at risk."
request_38,163.58,affordable_later,wait,2025-10-15:971.3,2025-10-15,none,"Wait until 15 October 2025, then pay EUR 971.3 in full. Paying sooner would put the EUR 400 minimum at risk."
request_39,32460.06,affordable_later,wait,2026-06-15:208600,2026-06-15,none,"Wait until 15 June 2026, then pay INR 208600 in full. Paying sooner would put the INR 213400 minimum at risk."
request_40,415.19,affordable_later,wait,2024-08-15:1290.3,2024-08-15,none,"Wait until 15 August 2024, then pay EUR 1290.3 in full. Paying sooner would put the EUR 1500 minimum at risk."
request_41,7716858.43,affordable_later,wait,2026-01-15:38760000,2026-01-15,none,"Wait until 15 January 2026, then pay IDR 38760000 in full. Paying sooner would put the IDR 25366600 minimum at risk."
request_42,52100,affordable_now,full_payment,2026-01-05:52100,2026-01-05,none,pay INR 52100 today. This leaves at least INR 160663.55 available.
request_43,8916032.63,affordable_later,wait,2024-11-15:43339000,2024-11-15,none,"Wait until 15 November 2024, then pay IDR 43339000 in full. Paying sooner would put the IDR 21398000 minimum at risk."
request_44,29621.81,affordable_later,wait,2025-04-15:95800,2025-04-15,none,"Wait until 15 April 2025, then pay INR 95800 in full. Paying sooner would put the INR 82900 minimum at risk."
request_45,4207270.27,affordable_later,wait,2026-09-15:21983000,2026-09-15,none,"Wait until 15 September 2026, then pay IDR 21983000 in full. Paying sooner would put the IDR 11149800 minimum at risk."
request_46,33044.31,affordable_with_plan,partial_payment,2024-12-03:33044.31|2024-12-15:16405.69,2024-12-15,none,Pay INR 33044.31 now and INR 16405.69 on 15 December 2024. This keeps the INR 84000 minimum protected.
request_47,3364886.48,not_affordable,not_recommended,none,,none,Do not make this payment by 19 June 2025. None of the eligible options keeps the IDR 30049000 minimum protected.
request_48,32883.09,affordable_later,wait,2026-08-15:45700,2026-08-15,none,"Wait until 15 August 2026, then pay INR 45700 in full. Paying sooner would put the INR 71300 minimum at risk."
request_49,12077430.31,affordable_with_plan,installments,2024-03-18:11902106.67|2024-04-18:11902106.67|2024-05-19:11902106.67,2024-05-15,none,"Use 3 installments of IDR 11902106.67, starting 18 March 2024. This leaves at least IDR 18671738.38 available."
request_50,43900,affordable_now,full_payment,2025-08-06:43900,2025-08-06,none,pay INR 43900 today. This leaves at least INR 155451.13 available.
request_51,2191000,affordable_now,full_payment,2026-01-03:2191000,2026-01-03,none,pay IDR 2191000 today. This leaves at least IDR 8307874.9 available.
request_52,18422.56,affordable_later,wait,2024-06-15:28870,2024-06-15,none,"Wait until 15 June 2024, then pay INR 28870 in full. Paying sooner would put the INR 41500 minimum at risk."
request_53,520.32,affordable_with_plan,installments,2025-11-21:589.06|2025-12-19:589.06|2026-01-16:589.06,2026-01-15,none,"Use 3 installments of USD 589.06, starting 21 November 2025. This leaves at least USD 1931.74 available."
request_54,2877.51,not_affordable,not_recommended,none,,none,Do not make this payment by 21 August 2026. None of the eligible options keeps the ZAR 37000 minimum protected.
request_55,118289.75,affordable_with_plan,installments,2026-06-11:75781.33|2026-07-12:75781.33|2026-08-12:75781.33,2026-08-15,none,"Use 3 installments of INR 75781.33, starting 11 June 2026. This leaves at least INR 113665.25 available."
request_56,606.22,affordable_with_plan,partial_payment,2025-02-03:606.22|2025-02-15:275.34,2025-02-15,none,Pay USD 606.22 now and USD 275.34 on 15 February 2025. This keeps the USD 2100 minimum protected.
request_57,11119.9,affordable_later,wait,2026-06-15:61446,2026-06-15,none,"Wait until 15 June 2026, then pay ZAR 61446 in full. Paying sooner would put the ZAR 42700 minimum at risk."
request_58,16226000,affordable_now,full_payment,2024-12-07:16226000,2024-12-07,none,pay IDR 16226000 today. This leaves at least IDR 21082963.8 available.
request_59,140600,affordable_with_plan,installments,2025-05-07:48741.33|2025-06-04:48741.33|2025-07-02:48741.33,2025-05-04,none,"Use 3 installments of INR 48741.33, starting 7 May 2025. This leaves at least INR 129272.21 available."
request_60,93.06,affordable_later,wait,2026-02-15:199.89,2026-02-15,none,"Wait until 15 February 2026, then pay USD 199.89 in full. Paying sooner would put the USD 400 minimum at risk."
request_61,29062,affordable_with_plan,installments,2024-03-17:10074.83|2024-04-17:10074.83|2024-05-18:10074.83,2024-03-03,none,"Use 3 installments of ZAR 10074.83, starting 17 March 2024. This leaves at least ZAR 36224.05 available."
request_62,404.23,affordable_now,full_payment,2025-08-05:404.23,2025-08-05,none,pay USD 404.23 today. This leaves at least USD 4565.95 available.
request_63,34809.55,not_affordable,not_recommended,none,,none,Do not make this payment by 17 September 2026. None of the eligible options keeps the INR 153500 minimum protected.
request_64,0,not_affordable,not_recommended,none,,none,Do not make this payment by 16 August 2024. None of the eligible options keeps the INR 36100 minimum protected.
